source_doc,category,value_factor,variant,value,unit,price_year,derivation_method,notes
HM Treasury Wellbeing Guidance (2021),unit_value,WELLBY,low,10000,GBP/WELLBY,2019,"QALY-based: £70,158 QALY ÷ 7 points life satisfaction",
HM Treasury Wellbeing Guidance (2021),unit_value,WELLBY,central,13000,GBP/WELLBY,2019,"Midpoint of low (£10,000) and high (£16,000) estimates",
HM Treasury Wellbeing Guidance (2021),unit_value,WELLBY,high,16000,GBP/WELLBY,2019,"Income-based: £30,673 avg earnings ÷ 1.96 log income coefficient",
HM Treasury Green Book 2026 / Wellbeing Guidance (2021),unit_value,QALY_GreenBook,central,70000,GBP/QALY,2019,HM Treasury welfare appraisal standard; primary for SCBA/appraisal,
HM Treasury Wellbeing Guidance (2021),unit_value,QALY_GreenBook_2014prices,central,60000,GBP/QALY,2014,"2014 price level reference; uprate to 2019: £70,158",
NICE / Frontier Economics (2024),unit_value,QALY_HTA,low,20000,GBP/QALY,2019,NICE Health Technology Assessment lower threshold,
NICE / Frontier Economics (2024),unit_value,QALY_HTA,high,30000,GBP/QALY,2019,NICE Health Technology Assessment upper threshold,
HM Treasury Wellbeing Guidance (2021),parameter,marginal_utility_income_elasticity,central,1.3,dimensionless,N/A,,HM Treasury Green Book Annex 3; used in WELLBY uprating formula
HM Treasury Wellbeing Guidance (2021),parameter,log_income_coefficient_0to10,central,1.96,per 0-10 scale,N/A,,Fujiwara (2021); derived from 1.25 on 1-7 scale
HM Treasury Wellbeing Guidance (2021),parameter,average_earnings_uk_2019,central,30673,GBP/year,N/A,,UK average earnings 2019; basis for WELLBY high estimate
HM Treasury Wellbeing Guidance (2021),parameter,life_satisfaction_points_per_QALY,central,7.0,points (0-10 scale),N/A,,Frijters & Krekel (2021); one QALY ≈ 7-point LS change (8→1)
HM Treasury Wellbeing Guidance (2021) — flooding case study,event_valuation,Internal water flooding (per property),central,42172,GBP/property,2019,"WELLBY × £13,000","LS impact: -0.273, 3 months duration"
HM Treasury Wellbeing Guidance (2021) — flooding case study,event_valuation,Internal sewer flooding (per property),central,145220,GBP/property,2019,"WELLBY × £13,000","LS impact: -0.508, 6 months duration"
HM Treasury Wellbeing Guidance (2021) — flooding case study,event_valuation,External sewer flooding (per property),central,16375,GBP/property,2019,"WELLBY × £13,000",LS impact: -0.041
HM Treasury Wellbeing Guidance (2021) — employment programme case study,event_valuation,"Wellbeing programme 1 (8 weeks, cost per WELLBY)",central,3158,GBP/WELLBY,2019,"WELLBY × £13,000","Programme cost £2,000; LS change 0.63/year"
HM Treasury Wellbeing Guidance (2021) — employment programme case study,event_valuation,"Wellbeing programme 2 (12 weeks, cost per WELLBY)",central,1000,GBP/WELLBY,2019,"WELLBY × £13,000",Programme cost £550; LS change 0.55/year
HM Treasury Wellbeing Guidance (2021) — loneliness case study,event_valuation,Loneliness intervention (1-point LS reduction per person),central,13500,GBP/person,2019,"WELLBY × £13,000","Monetised using £13,500 per 1-point life satisfaction change (≈ £13,000 WELLBY)"
HM Treasury Wellbeing Guidance (2021) — skills training case study,event_valuation,"Youth skills training benefit (annual, per person, 40% completion)",central,5200,GBP/person/year,2019,"WELLBY × £13,000","Range £4,000–£6,400; 10,000 beneficiaries total £20.8m"
HM Treasury Wellbeing Guidance (2021) — employment support case study,event_valuation,Employment support individual annual benefit,central,31074,GBP/person/year,2019,"WELLBY × £13,000","£25,094 wage premium + £5,980 wellbeing impact; 200 people: £6.21m/year"
